SCP #,Title,rating,Classification,Type,Related GOI(s),Location Notes,Author,Leaked info,Humanoid or Structure,"Animal, Computer or Extradimensional",Autonomous or Cognitohazard),"Artifact, Location or Sentient",Summary,Gender,,Ethnicity / Origins
1257,Agent Danny of the SCP,,safe,document,,,,,,,,,,,,
1259,The Ancient Prophecy,,safe,infohazard,,,,,,,,,,,,
1260,HMS Tiresias,,euclid,extradimensional,,,,,,extradimensional,autonomous,,,,,
1261,Memetic Emu,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1262,Seed of Destruction,,keter,plant,,,,,,,,,,,,
1263,Talking Heads,,safe,humanoid,,,,,humanoid,,,sentient,,female(s),,white
1264,Resurrected Wreckage,,keter,humanoid,,,,,humanoid,,,,,,,
1265,The Mesozoic Preserve,,euclid,animal,,,,,,animal,,location,,,,
1266,Permian Ark,,euclid,artifact,,,,,,,,artifact,,,,
1267,Metamorphic Mammal,,euclid,animal,,,,,,animal,,,,,,
1268,Mass Hysteria,,safe,humanoid,,,,,humanoid,,cognitohazard,sentient,,,,
1269,Stalker Mailbox,,euclid,artifact,,,,,,,,artifact,,,,
1270,Man with a Gun,,safe,humanoid,,,,,humanoid,,,,,,,
1271,"Kickball Field, Sheckler Elementary",,euclid,location,,,,,,,,location,,,,
1272,Slow-Motion Catastrophe,,euclid,spacetime,,,,,,,,,,,,
1273,Stuck,,euclid,humanoid,,,,,humanoid,extradimensional,,sentient,,female,,white
1274,Dance Craze,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1275,Silent Bandit,,keter,extradimensional,Chaos Insurgency,,,,,extradimensional,,,,,,
1276,Venusian Launch Pad,,safe,artifact,,,,,,,,artifact,,,,
1277,Thirsty Cactus,,safe,humanoid,,,,,humanoid,,,sentient,,,,
1278,A Picture Frame,,safe,portal,,,,,,,,,,,,
1279,People Dogs,,safe,animal,,,,,,animal,cognitohazard,artifact,,,,
1280,Mematodes,,euclid,parasitic,,,,,,,,,,,,
1281,The Harbinger,,safe,extraterrestrial,,,,,,,,,,,,
1282,Reverse Were-Rabbits,,euclid,humanoid,,,,,humanoid,animal,,sentient,,,,
1283,Radio Panic,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1284,The Moon's Child Bride,,euclid,humanoid,,,,,humanoid,,,,,,,
1285,The Wooden Movie Prop,,safe,humanoid,,,,,humanoid,,,,,,,
1286,Sad Man,,keter,autonomous,,,,,,,autonomous,sentient,,,,
1287,Closure,,safe,structure,,,,,structure,,,,,,,
1289,Charon's Obol,,euclid,autonomous,,,,,,,autonomous,,,,,
1290,Imperfect Teleporter,,safe,artifact,Prometheus Labs,,,,,,,artifact,,,,
1291,Football Gods,,euclid,humanoid,Serpents Hand,,,,humanoid,extradimensional,,,,male,,white
1292,Contagious Scantron Disease,,euclid,electronic,,,,,,,,,,,,
1293,Squeedle Deedle Dee!,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1294,The Laughing Fox,,euclid,animal,,,,,,animal,,,,,,
1296,Dial-a-Llama,,euclid,animal,,,,,,animal,,,,,,
1298,The Doorstep Babies,,safe,humanoid,,,,,humanoid,,,,,,,
1299,Drowning Tub,,euclid,artifact,,,,,,,,artifact,,,,
1300,Liquid Surgeon,,safe,autonomous,,,,,,,autonomous,,,,,
1301,The Singing Violin,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1302,Loss Chaser,,safe,electronic,,,,,,,,,,,,
1303,Hunting Cavern,,safe,location,,,,,,,,location,,,,
1304,Metafictional Rebirth Ritual,,euclid,humanoid,,,,,humanoid,,,,,,,
1305,Cat Lure,,euclid,animal,,,,,,animal,,,,,,
1306,Potion of Summon Bird,,safe,animal,,,,,,animal,,,,,,
1308,Hungarian Floater,,euclid,autonomous,,,,,,,autonomous,sentient,,,,
1309,Time-Locked Town,,euclid,mind-affecting,,,,,,,,,,,,
1310,Examination Room 10,,euclid,location,,,,,,,,location,,,,
1311,Sudden Body Integrity Failure,,euclid,mind-affecting,,,,,,,,,,,,
1312,Site 41,,safe,humanoid,,,,,humanoid,,,location,,,,
1313,Infini-Measure,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1314,Memetic Universe,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1315,The Hardest Game,,safe,electronic,,,,,,,,,,,,
1316,Lucy the Kitten Feline Espionage Device,,euclid,animal,Chaos Insurgency,,,,,animal,,sentient,,,,
1317,Factory Makeup,,safe,chemical,The Factory,,,,,,,,,,,
1318,Consultant Rats,,euclid,animal,,,,,,animal,,,,,,
1319,The Split-Up,,safe,humanoid,,,,,humanoid,,autonomous,sentient,,,,
1320,Refractive Explorers,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1323,A County Fair,,euclid,humanoid,,,,,humanoid,extradimensional,,location,,,,
1324,A Printer's Purpose,,safe,computer,,,,,,computer,autonomous,sentient,,,,
1325,Easter Frog,,euclid,animal,,,,,,animal,,,,,,
1328,51st State of Mind,,euclid,cognitohazard,,,,,,,cognitohazard,location,,,,
1329,The Aquarium,,euclid,humanoid,,,,,humanoid,animal,,sentient,,,,
1330,Universal Dumping Grounds,,euclid,extradimensional,,,,,,extradimensional,,artifact / location,,,,
1331,Mouth Soap,,safe,artifact,The Factory,,,,,,,artifact,,,,
1332,Involuntary Shapeshifting,,euclid,liquid,,,,,,,,,,,,
1333,The Phantom App,,safe,computer,,,,,,computer,,,,,,
1334,Numerology Ghost's Apartment,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1335,Fortune Cookie Neighbor,,safe,acoustic,,,,,,,,,,,,
1336,"5,000 Dots",,safe,visual,,,,,,,,,,,,
1337,The Hitchhiker,,euclid,humanoid,,,,,humanoid,,,location,,,,
1338,Child of Trees,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1339,Justified Badge,,safe,artifact,,,,,,,,artifact,,,,
1340,The Fraternal Order of Cave Mantas,,safe,animal,,,,,,animal,,sentient,,,,
1341,JUNGLE IN A JAR,,euclid,plant,,,,,,,,,,,,
1343,Pile Up,,safe,container,,,,,,,,,,,,
1344,Eye-Catching Goggles,,safe,visual,,,,,,,,,,,,
1345,Propaganda Machine,,euclid,structure,,,,,structure,computer,,,,,,
1346,Phobia Induction Corridor,,safe,location,,,,,,,,location,,,,
1347,Box Full of Questions,,euclid,sentient,,,,,,,,sentient,,,,
1348,Inner Sanctum,,keter,humanoid,,,,,humanoid,,,location,,,,
1349,Stomach Bug,,euclid,parasitic,,,,,,,,,,,,
1350,The Pixel,,keter,autonomous,,,,,,,autonomous,,,,,
1351,Moebius Cave,,euclid,location,,,,,,,,location,,,,
1352,Sentient Whirlwind,,euclid,autonomous,,,,,,,autonomous,sentient,,,,
1353,Comforting Centipedes,,euclid,autonomous,,,,,,,autonomous,artifact,,,,
1354,Fancy-Talking Soup,,safe,sentient,,,,,,,,sentient,,,,
1355,House of Harmonious Boxes,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1356,Rubber Ducky,,safe,extradimensional,,,,,,extradimensional,,,,,,
1357,The Children's Park,,safe,location,,,,,,,,location,,,,
1358,Northern Lights,,euclid,humanoid,,,,,humanoid,,autonomous,location,,,,
1359,Indulgence in Flesh,,euclid,humanoid,,,,,humanoid,,cognitohazard,sentient,,,,
1361,Animal By-Product,,safe,alive,,,,,,,,,,,,
1362,The Cartographers' Guild,,euclid,humanoid,,,,,humanoid,,,location,,,,
1363,Possessed Virus,,euclid,mind-affecting,,,,,,,,,,,,
1364,Ultra-Vulnerable Mammal,,safe,animal,,,,,,animal,,,,,,
1365,Bike Justice,,safe,autonomous,,,,,,,autonomous,,,,,
1366,The Rumor Mill,,euclid,autonomous,,,,,,,autonomous,,,,,
1367,Party Balloon,,safe,autonomous,,,,,,,autonomous,artifact,,,,
1368,Aegides,,keter,humanoid,,,,,humanoid,,,sentient,,,,
1369,Feelers,,euclid,humanoid,,,,,humanoid,,,,,,,
1371,Curiously Buoyant Amphibian,,safe,animal,,,,,,animal,,,,,,
1372,The Utter West,,keter,location,,,,,,,,location,,,,
1373,Laser Shark Fetuses,,euclid,animal,Dr. Wondertainment,,,,,animal,,,,,,
1374,Preparation,,keter,sentient location,"MC&D Ltd,Global Occult C.",,,,,,,sentient / location,,,,
1375,Extraterrestrial Tube Station,,euclid,structure,,,,,structure,,,,,,,
1377,Automaton Parliament,,euclid,humanoid,,,,,humanoid,,,,,,,
1378,A Trip to the Mall,,euclid,extradimensional animal,,,,,,extradimensional / animal,,,,,,
1380,Room #16,,euclid,artifact,,,,,,,,artifact,,,,
1381,Cats' Cabinet,,euclid,transfiguration,,,,,,,,,,,,
1382,Save Our Souls,,euclid,humanoid,,,,,humanoid,,,artifact / location,,,,
1383,Partially-Functioning Pataphorical Torment Chamber,,euclid,location,,,,,,,,location,,,,
1384,Taker of Turns,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1385,The Mistake Ring,,safe,animal,,,,,,animal,,,,,,
1386,Sentient Ice Cream Van,,euclid,autonomous,,,,,,,autonomous,sentient,,,,
1387,Giant Seagull Airlines,,euclid,animal,,,,,,animal,,,,,,
1388,One Size Fits All Superoos®,,safe,clothing,,,,,,,,,,,,
1389,A Saint,,safe,humanoid,,,,,humanoid,,,sentient,,,,
1390,A Dead Language,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1391,Field of Stone,,safe,location,,,,,,,,location,,,,
1392,Functioning Scarificator,,safe,instrument,,,,,,,,,,,,
1393,Somebody Else's Mess,,euclid,humanoid,,,,,humanoid,extradimensional,,sentient,,,,
1395,Cave Apparition,,euclid,humanoid,,,,,humanoid,,,location,,,,
1396,Jovian Kill-Sats,,euclid,autonomous,,,,,,,autonomous,sentient,,,,
1397,A Failed Work of Art,,safe,mind-affecting,,,,,,,,,,,,
1399,Another Way of Hearing,,safe,auditory,,,,,,,,,,,,
1400,Sirens,,euclid,humanoid,,,,,humanoid,,cognitohazard,sentient,,male,,white
1401,Lost Highway,,euclid,extradimensional,,,,,,extradimensional,autonomous,location,,,,
1402,The Tell-All Briefcase,,safe,container,,,,,,,,,,,,
1403,Electric Goldfish,,safe,animal,,,,,,animal,,,,,,
1404,Cereal Bowl,,safe,autonomous,,,,,,,autonomous,,,,,
1406,An Old Entity,,safe,building,,,,,,,,,,,,
1407,DJ's Headphones,,euclid,artifact,,,,,,,,artifact,,,,
1408,Victorian-Era Memory Rewriter,,safe,telepathic,,,,,,,,,,,,
1409,The Whalesong Beacon,,safe,location,,,,,,,,location,,,,
1410,Sweating Stone,,euclid,liquid,,,,,,,,,,,,
1411,"Mirror, Mirror",,euclid,structure,ORIA,,,,structure,,,sentient / location,,,,
1412,Two Dead Sisters,,safe,plant,,,,,,,,,,,,
1413,SPORTSBALL,,euclid,mind-affecting,,,,,,,,,,,,
1414,Passive-Aggressive Radio,,safe,electronic,,,,,,,,,,,,
1415,Flesh Gauntlet,,safe,clothing,,,,,,,,,,,,
1416,Transmigratory Teapot,,safe,liquid,,,,,,,,,,,,
1417,Swiss Army Banana,,safe,plant,,,,,,,,,,,,
1418,The Dowager's Comb,,safe,transfiguration,MC&D Ltd,,,,,,,,,,,
1419,Religious Broadcasting,,euclid,electronic,,,,,,,,,,,,
1420,Tartary Eggs,,euclid,sentient,,,,,,,,sentient,,,,
1421,The Unreliable Oracle,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1422,The Yellowstone Anomaly,,neutralized,location,,,,,,,,location,,,,
1423,Summer of '76,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1424,Patches,,safe,animal,,,,,,animal,,,,,,
1426,Planetary Core Drill Bits,,safe,extraterrestrial,,,,,,,,,,,,
1427,Extinguishing Stele,,keter,artifact,,,,,,,,artifact,,,,
1428,Jinwu,,keter,animal,,,,,,animal,cognitohazard,,,,,
1429,Organoid Organisms,,euclid,autonomous,,,,,,,autonomous,,,,,
1430,The Orator's Staff,,safe,artifact,,,,,,,,artifact,,,,
1431,Scavenger Hunt!,,safe,mind-affecting,,,,,,,,,,,,
1432,Doll DVD,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1433,The Sound of Silence,,safe,cognitohazard,Are We Cool Yet?,,,,,,cognitohazard,,,,,
1434,The Brutal Brick,,euclid,artifact,,,,,,,,artifact,,,,
1435,Grog the Cave Monster,,euclid,artifact,,,,,,,,artifact,,,,
1436,Probability Phoenix,,euclid,animal,,,,,,animal,,,,,,
1438,Invaders,,euclid,mind-affecting,,,,,,,,,,,,
1439,Serial Stickers,,euclid,artifact,,,,,,,,artifact,,,,
1441,Cold Fusion Paper-Towel Dispenser,,safe,artifact,,,,,,,,artifact,,,,
1442,Incorporated,,euclid,sentient,,,,,,,,sentient,,,,
1443,Avernus Vine,,safe,plant,,,,,,,,,,,,
1445,An Antique Spacecraft,,safe,extraterrestrial,,,,,,,,,,,,
1446,Metaphysical Graffiti,,euclid,cognitohazard,Are We Cool Yet?,,,,,,cognitohazard,,,,,
1447,Tulpa,,keter,humanoid,,,,,humanoid,,autonomous,sentient,,,,
1448,Legend Tripping,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1449,Dreamtime Whale Shark,,euclid,autonomous,,,,,,,autonomous,,,,,
1450,Iridescence,,safe,animal,,,,,,animal,,,,,,
1451,Sunken Children's Perimeter,,euclid,humanoid,,,,,humanoid,,autonomous,location,,,,
1452,Terrible Home Additions,,euclid,building,,,,,,,,,,,,
1453,Opalus Probandi,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1454,Sibling Rivalry,,safe,humanoid,,,,,humanoid,,,sentient,,,,
1455,Lagging Door,,euclid,spacetime,,,,,,,,,,,,
1456,You've Won!,,euclid,mind-affecting,,,,,,,,,,,,
1457,Mourning Cloak,,safe,alive,,,,,,,,,,,,
1458,The Tired Mother,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1459,The Puppy Machine,,safe,animal,,,,,,animal,,artifact,,,,
1460,Dreamwalker,,euclid,humanoid,,,,,humanoid,,,,,Male,,Asian American
1461,House of the Worm,,euclid,humanoid,Broken God,,,,humanoid,,,,,,,
1462,Renewable Energy Source,,keter,transfiguration,,,,,,,,,,,,
1463,Señor Purple,,safe,humanoid,,,,,humanoid,,,,,male,,white
1464,Pond of Atrocities,,safe,cognitohazard,,,,,,,cognitohazard,location,,,,
1465,Photographos Thaumantos,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1466,The Undiscovered Continent,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1468,Literature Birds,,safe,animal,,,,,,animal,,sentient,,,,
1469,Cookie Cutters,,euclid,extradimensional,,,,,,extradimensional,,location,,,,
1471,MalO ver1.0.0,,euclid,humanoid,,,,,humanoid,computer,,,,,,
1472,Multiverse Strip Club,,safe,humanoid,,,,,humanoid,,,,,,,
1473,Live the Words,,safe,sentient,,,,,,,,sentient,,,,
1474,"In Solidarity with Xiu Lidao, Great Sage, Equal of Heaven",,safe,structure,,,,,structure,,autonomous,,,,,Asian
1475,100% Brainpower,,safe,humanoid,,,,,humanoid,,,sentient,,,,
1476,Shattering Geese,,euclid,animal,,,,,,animal,,,,,,
1477,The Philosopher's Stove,,safe,toy,,,,,,,,,,,,
1478,Inconveniently Stereotypical Cacti,,euclid,sentient,,,,,,,,sentient,,,,
1479,Inside-Outside,,euclid,extradimensional,,,,,,extradimensional,,location,,,,
1480,Bus #64,,safe,sentient,,,,,,,,sentient,,,,
1481,Crack Genie,,safe,humanoid,,,,,humanoid,,,artifact,,,,
1482,Mutilated Animal House,,safe,animal,Chaos Insurgency,,,,,animal,,sentient,,,,
1483,The Third Antarctic Empire,,euclid,extradimensional,,,,,,extradimensional,,location,,,,
1484,Murder Diary,,safe,cognitohazard,,,,,,,cognitohazard,artifact,,,,
1485,Normality,,euclid,extradimensional,,,,,,extradimensional,,location,,,,
1486,Benny,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1487,Beautiful Bones,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1488,Partially Roboticized Tortoises,,euclid,animal,,,,,,animal,,,,,,
1489,"A ""Ghost Train""",,euclid,humanoid,,,,,humanoid,,,,,,,
1490,Animal Sculptor,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1491,Camera man,,safe,humanoid,,,,,humanoid,,,sentient,,male,,white
1492,Ill-Begotten Gains,,safe,artifact,,,,,,,,artifact,,,,
1493,The Whispering Worms,,euclid,extradimensional animal,,,,,,extradimensional / animal,autonomous,artifact,,,,
1494,Terminal Castaways,,euclid,structure,,,,,structure,extradimensional,,,,,,
1495,Karmic Musth,,euclid,animal,,,,,,animal,,sentient,,,,
1496,The Most Profound Statement in History A Place Setting,,safe,artifact,,,,,,,,artifact,,,,
1497,Visual Perfection,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1498,Dial-A-Dream,,euclid,autonomous,Oneiroi,,,,,,autonomous,,,,,
1499,The Gas Mask,,safe,humanoid,,,,,humanoid,extradimensional,,,,,,
1500,Zachary Callahan,,safe,humanoid,,,,,humanoid,,autonomous,,,,,
1501,Every Penny Counts,,euclid,humanoid,Manna Charitable F.,,,,humanoid,,,sentient,,,,
1502,The Feeny Stitcher,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1503,Agoraphobic Stone,,safe,humanoid,,,,,humanoid,,autonomous,location,,,,
1504,Joe Schmo,,keter,humanoid,,,,,humanoid,,,sentient,,male,,white
1505,Paradoxical Avian Propagation,,keter,animal,,,,,,animal,,,,,,
1506,Aerial Arachnid,,keter,animal,,,,,,animal,,,,,,
1507,Pink Flamingos,,euclid,autonomous,,,,,,,autonomous,artifact,,,,
1508,Mikey's Chore,,safe,toy,Dr. Wondertainment,,,,,,,,,,,
1509,The Blade of Rebirth,,safe,humanoid,,,,,humanoid,,,,,,,
1510,The Tarnished Legionnaire,,safe,clothing,,,,,,,,,,,,
1511,Mobile Paradise,,euclid,extradimensional,,,,,,extradimensional,,,,,,
1512,Irrational Root,,keter,mathematical,,,,,,,,,,,,
1513,Potted Pets,,safe,animal,,,,,,animal,,sentient,,,,
1514,Star Wars,,keter,extraterrestrial,Unusual Incidents U.,,,,,,,,,,,
1515,Wallaby Wannabes,,euclid,animal,,,,,,animal,,sentient,,,,
1516,The Written Man,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1517,Candy Critters,,euclid,transfiguration,,,,,,,,,,,,
1518,The Bubble Fountain,,keter,liquid,,,,,,,,,,,,
1520,An Elderly Monk,,safe,humanoid,,,,,humanoid,,,sentient,,,,Japanese
1521,"The Most Holy Bank of His Holiness Pope Leo the Tenth, Saint in Waiting",,euclid,humanoid,,,,,humanoid,,,location,,,,
1522,Ships That Pass In The Night,,neutralized,autonomous,Global Occult C.,,,,,,autonomous,sentient,,,,
1523,Soul Brother,,safe,sentient,Fifthist,,,,,,,artifact / sentient,,,,
1524,A Small Business,,euclid,humanoid,,,,,humanoid,,,,,,,
1525,The Emperor's New Watch,,safe,mind-affecting,,,,,,,,,,,,
1526,"Papers, Please",,euclid,humanoid,,,,,humanoid,,,,,,,
1527,"Our Bellmaker, Our Radiant Skies",,keter,extradimensional,Serpents Hand,,,,,extradimensional,autonomous,location,,,,
1528,Finished With Lies,,safe,artifact,,,,,,,,artifact,,,,
1529,King of the Mountain,,euclid,humanoid,,,,,humanoid,,cognitohazard,,,,,
1530,A Bender's Friends,,euclid,humanoid,,,,,humanoid,animal,,sentient,,,,
1531,Perfect Lie Detector,,safe,electronic,,,,,,,,,,,,
1532,Dr. Gale’s Human Emporium©,,euclid,humanoid,,,,,humanoid,,,,,,,
1533,The Collective,,euclid,humanoid,,,,,humanoid,,,,,,,
1534,A Leafy Lammergeier,,euclid,animal,,,,,,animal,,sentient,,,,
1535,Purgatory,,safe,container,,,,,,,,,,,,
1537,The Words of Akul'hil,,keter,transfiguration,Global Occult C.,,,,,,,,,,,
1538,Instructions to a Twin-Screw Extruder,,euclid,location,,,,,,,,location,,,,
1539,Semantic Dissociator,,safe,location,,,,,,,,location,,,,
1540,Metamorphic Identity,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1541,The Drunken God,,euclid,sentient,,,,,,,,sentient,,,,
1542,Subject: A-35,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1543,Efrain's Dialtone,,euclid,humanoid,,,,,humanoid,extradimensional,,,,,,
1544,Slinky Man,,safe,sentient,Dr. Wondertainment,,,,,,,sentient,,,,
1546,University Ballcap,,safe,clothing,Alexylva,,,,,,,,,,,
1547,A Mother's Love,,keter,humanoid,,,,,humanoid,,,,,,,
1549,Anti-Empath,,euclid,humanoid,ORIA,,,,humanoid,,,sentient,,,,
1550,Dr. Wondertainment's Custom-Pets™,,safe,animal,Dr. Wondertainment,,,,,animal,,,,,,
1551,Repeating House,,euclid,building,,,,,,,,,,,,
1552,The Dog Who Loves Closeups,,safe,animal,,,,,,animal,,,,,,
1553,Dr. Wondertainment's Shadow Paint Play-Set!,,safe,toy,Dr. Wondertainment,,,,,,,,,,,
1554,The Damaged Fellowship,,safe,autonomous,,,,,,,autonomous,,,,,
1555,Facility,,euclid,structure,,,,,structure,,autonomous,location,,,,
1556,Misthorses,,euclid,animal,,,,,,animal,,sentient,,,,
1557,Giraffe Hell,,safe,structure,,,,,structure,extradimensional / animal,,sentient,,,,
1558,Snuff Tower,,safe,computer,,,,,,computer,,,,,,
1559,Birdsoul In Your House,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1560,Extradimensional Albatross,,euclid,extradimensional animal,,,,,,extradimensional / animal,,,,,,
1561,The Tyrant's Pretext,,Glorious,visual,,,,,,,,,,,,
1562,Tunnel Slide,,safe,structure,,,,,structure,extradimensional,,,,,,
1563,Property Markers,,euclid,sentient,,,,,,,,sentient,,,,
1564,Post-Nibbanic,,euclid,artifact,Broken God,,,,,,,artifact,,,,
1565,Martian Turtles,,euclid,animal,,,,,,animal,,location,,,,
1566,Free Hugs,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1567,The Dunne of Gallen,,euclid,autonomous,,,,,,,autonomous,,,,,
1568,Kingston the Crab,,euclid,alive,,,,,,,,,,,,
1569,Jumbo Shrimp,,euclid,animal,,,,,,animal,,sentient,,,,
1570,The Shocked Woman,,euclid,humanoid,,,,,humanoid,,,,,female,,white
1571,Keeper of Treasures,,safe,container,MC&D Ltd,,,,,,,,,,,
1572,Root Map,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1573,Kids These Days,,safe,humanoid,,,,,humanoid,,,location,,,,
1574,Searching…,,keter,cognitohazard,,,,,,,autonomous / cognitohazard,,,,,
1575,Venus Statue,,safe,transfiguration,MC&D Ltd,,,,,,,,,,,
1576,Edisonian Afterlife Communicator,,euclid,artifact,,,,,,,,artifact,,,,
1577,A Flare Gun,,safe,extradimensional,,,,,,extradimensional,,,,,,
1578,Standers,,euclid,humanoid,,,,,humanoid,,autonomous,,,,,
1579,Different Skin,,safe,structure,,,,,structure,,,,,,,
1580,Recycling Leaves,,safe,sentient,,,,,,,,sentient,,,,
1581,A Balanced Diet,,safe,humanoid,,,,,humanoid,extradimensional,,,,,,
1582,Ant Man,,safe,humanoid,,,,,humanoid,,,sentient,,Male,,Aboriginal
1583,It Only Makes Us Stronger,,keter,container,Global Occult C.,,,,,,,,,,,
1584,www.floatationdevice.███,,euclid,computer,,,,,,computer,,,,,,
1585,Red Queen Island,,euclid,animal,,,,,,animal,,location,,,,
1586,Fetal Singularity,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1587,Dreamland,,safe,extradimensional,,,,,,extradimensional,,,,,,
1588,The Cliff Face,,euclid,sentient location,,,,,,,,sentient / location,,,,
1589,Roman Anthropophagus,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1590,The Book of Tamlin,,euclid,computer,Are We Cool Yet?,,,,,computer,,,,,,
1591,Fallen Star,,keter,sculpture,Serpents Hand,,,,,,,,,,,
1592,Paradise Television,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1593,The Dragging Finger,,safe,humanoid,,,,,humanoid,,,,,,,
1594,Earth's Corps,,safe,humanoid,,,,,humanoid,,autonomous,sentient,,,,
1595,Out of Time,,euclid,temporal,,,,,,,,,,,,
1596,House Fire,,safe,tool,,,,,,,,,,,,
1597,A Security Blanket,,euclid,autonomous,,,,,,,autonomous,artifact,,,,
1598,Unforeseen Setbacks,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1599,Broken Spybot,,safe,sapient,,,,,,,,,,,,
1600,Philosopher's Cheese,,safe,liquid,MC&D Ltd,,,,,,,,,,,
1601,The Records of [REDACTED],,euclid,artifact,,,,,,,,artifact,,,,
1602,A Shower Curtain,,safe,humanoid,,,,,humanoid,extradimensional,,artifact,,,,
1603,The Murder of █████ ███████,,safe,infohazard,,,,,,,,,,,,
1604,The Ball and Chain,,euclid,geological,,,,,,,,,,,,
1605,Appeler Une Croix,,safe,cognitohazard,,,,,,,cognitohazard,,,,,
1606,Memory Loss,,euclid,humanoid,,,,,humanoid,,,,,,,
1607,Culture Generator,,euclid,extradimensional,,,,,,extradimensional,,location,,,,
1608,Yu-Kaing,,euclid,animal,,,,,,animal,,sentient,,,,
1610,Testing May Continue,,euclid,humanoid,Prometheus Labs,,,,humanoid,,,,,,,
1611,Guarded Apartment,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1612,Fires of Pangloss,,safe,liquid,,,,,,,,,,,,
1613,The Spoken Fool,,euclid,document,,,,,,,,,,,,
1614,The Flea,,safe,computer,,,,,,computer,,,,,,
1615,Photosynthetic Manna,,safe,transfiguration,Manna Charitable F.,,,,,,,,,,,
1616,Nibbles,,keter,animal,,,,,,animal,,sentient,,,,
1617,Cracked Classics,,safe,visual,"Alexylva,Are We Cool Yet?",,,,,,,,,,,
1618,Gilded Urinal,,safe,transfiguration,Are We Cool Yet?,,,,,,,,,,,
1619,Site-45-C: Floor 24,,euclid,humanoid,,,,,humanoid,extradimensional / animal,autonomous,sentient,,,,
1620,Reflection Infection,,euclid,sentient,,,,,,,,sentient,,,,
1621,A Useful Plant,,keter,plant,,,,,,,,,,,,
1622,Cheese With Expensive Tastes,,euclid,cognitohazard,,,,,,,cognitohazard,,,,,
1623,Night Marches,,keter,humanoid,Horizon Initiative,,,,humanoid,,,sentient / location,,,,
1624,Heartworms,,euclid,computer,,,,,,computer,,,,,,
1625,Tradition,,keter,humanoid,,,,,humanoid,,,,,,,Kenya
1626,Drunkshirt,,safe,clothing,,,,,,,,,,,,
1627,Mushroom Wars,,euclid,transfiguration,,,,,,,,,,,,
1628,Storage Tunnel #1812,,euclid,humanoid structure,,,,,humanoid / structure,,autonomous,,,,,
1629,Ready or Not,,safe,autonomous,,,,,,,autonomous,,,,,
1630,Human Food Pyramid,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1631,The Ghost Vehicle,,euclid,autonomous,,,,,,,autonomous,,,,,
1632,Better Ring Xing,,euclid,humanoid,,,,,humanoid,,,sentient,,,,
1633,The Most Dangerous Video Game,,safe,computer,,,,,,computer,,,,,,
1634,Dental Crown Cinema,,safe,clothing,MC&D Ltd,,,,,,,,,,,
1635,Returned Items,,safe,humanoid,,,,,humanoid,,autonomous,sentient,,,,
1636,The Principal Skinner,,safe,humanoid,,,,,humanoid,,,,,,,
1637,The Army of the Future,,euclid,humanoid structure,Prometheus Labs,,,,humanoid / structure,,autonomous,,,,,
1638,Silence,,euclid,location,,,,,,,,location,,,,
1639,The Jazz Station,,safe,electronic,,,,,,,,,,,,
1640,Lunar Leporine,,safe,extraterrestrial,,,,,,,,,,,,
1641,Mechanitis pyrotechnica,,euclid,alive,,,,,,,,,,,,
1642,Dr. Wondertainment's Insta-teen Tablets™,,safe,transfiguration,Dr. Wondertainment,,,,,,,,,,,
1643,The City and the Tower,,euclid,structure,,,,,structure,,,,,,,
